0.000000E+00	6.263672E-03
1.232548E+13	6.263672E-03
2.466394E+13	6.263673E-03
3.703295E+13	6.263674E-03
4.944399E+13	6.263675E-03
6.192196E+13	6.263676E-03
7.446302E+13	6.263677E-03
8.707618E+13	6.263678E-03
9.978194E+13	6.263679E-03
1.125858E+14	6.263680E-03
1.254827E+14	6.263681E-03
1.384863E+14	6.263682E-03
1.515983E+14	6.263683E-03
1.648128E+14	6.263684E-03
1.781367E+14	6.263685E-03
1.915677E+14	6.263686E-03
2.051026E+14	6.263688E-03
2.187366E+14	6.263689E-03
2.324642E+14	6.263690E-03
2.462784E+14	6.263691E-03
2.601751E+14	6.263692E-03
2.741439E+14	6.263693E-03
2.881758E+14	6.263694E-03
3.022606E+14	6.263695E-03
3.163965E+14	6.263697E-03
3.305658E+14	6.263698E-03
3.447676E+14	8.831567E-03
3.589816E+14	8.831570E-03
3.732085E+14	8.831573E-03
3.874383E+14	8.831576E-03
4.016609E+14	8.831580E-03
4.158664E+14	8.831583E-03
4.300450E+14	8.831586E-03
4.441871E+14	8.831589E-03
4.582834E+14	8.831593E-03
4.723251E+14	8.831596E-03
4.863143E+14	8.831599E-03
5.002324E+14	8.831602E-03
5.140810E+14	8.831606E-03
5.278516E+14	8.831609E-03
5.415317E+14	8.831612E-03
5.551215E+14	8.831615E-03
5.686153E+14	8.831618E-03
5.820088E+14	8.831621E-03
5.952985E+14	8.831624E-03
6.084839E+14	8.831627E-03
6.215642E+14	8.831630E-03
6.345397E+14	8.831633E-03
6.474120E+14	8.831636E-03
6.601843E+14	8.831639E-03
6.728609E+14	2.365529E-04
6.854473E+14	2.365529E-04
6.979609E+14	2.365529E-04
7.104000E+14	2.365529E-04
7.227858E+14	2.365529E-04
7.351169E+14	2.365529E-04
7.474172E+14	2.365529E-04
7.596851E+14	2.365529E-04
7.719468E+14	2.365529E-04
7.842148E+14	2.365529E-04
7.965018E+14	2.365529E-04
8.088198E+14	2.365529E-04
8.211806E+14	2.365529E-04
8.335952E+14	2.365529E-04
8.460878E+14	2.365529E-04
8.586538E+14	2.365529E-04
8.713137E+14	2.365529E-04
8.840622E+14	2.365529E-04
8.969161E+14	2.365529E-04
9.098783E+14	2.365529E-04
9.229427E+14	2.365529E-04
9.361190E+14	2.365529E-04
9.494065E+14	2.365529E-04
9.628028E+14	2.365529E-04
9.763045E+14	2.365529E-04
9.899071E+14	2.365529E-04
1.003605E+15	3.826023E-04
1.017392E+15	3.826023E-04
1.031261E+15	3.826023E-04
1.045205E+15	3.826023E-04
1.059212E+15	3.826023E-04
1.073280E+15	3.826023E-04
1.087393E+15	3.826023E-04
1.101541E+15	3.826023E-04
1.115721E+15	3.826023E-04
1.129926E+15	3.826023E-04
1.144133E+15	3.826023E-04
1.158343E+15	3.826023E-04
1.172546E+15	3.826023E-04
1.186732E+15	3.826023E-04
1.200892E+15	3.826023E-04
1.215014E+15	3.826023E-04
1.229091E+15	3.826023E-04
1.243122E+15	3.826023E-04
1.257090E+15	3.826023E-04
1.270995E+15	3.826023E-04
1.284821E+15	3.826023E-04
1.298568E+15	3.826023E-04
1.312228E+15	3.826023E-04
1.325792E+15	3.826023E-04
1.339258E+15	4.031767E-02
1.352622E+15	4.031123E-02
1.365882E+15	4.030483E-02
1.379033E+15	4.029849E-02
1.392077E+15	4.029221E-02
1.405017E+15	4.028597E-02
1.417852E+15	4.027979E-02
1.430585E+15	4.027366E-02
1.443221E+15	4.026758E-02
1.455766E+15	4.026155E-02
1.468225E+15	4.025557E-02
1.480619E+15	4.024962E-02
1.492946E+15	4.024371E-02
1.505229E+15	4.023784E-02
1.517467E+15	4.023198E-02
1.529685E+15	4.022615E-02
1.541896E+15	4.022033E-02
